,0
potato,861
research,822
disease,615
resistance,541
development,479
food,449
plants,446
genetic,416
improved,375
production,371
health,365
process,341
system,326
base,325
dietary,320
environment,318
plant,307
biological,294
data,266
population,265
molecular,264
agriculture,256
pathogen,254
risk,246
gene,244
programs,240
novel,232
genes,230
of,225
methods,221
testing,220
industry,217
goals,217
human,212
,204
breeding,200
role,199
virus,198
response,196
study,195
vegetables,191
work,185
proteins,176
time,173
area,165
life,162
technology,160
marketing,155
affect,155
united,154
states,153
cell,150
and,150
modeling,149
address,147
cost,146
source,143
tomatoes,139
diet,139
stress,138
water,136
economics,135
resources,134
knowledge,132
growth,131
biology,131
chemicals,130
pathway,130
evaluation,129
dna,129
diseases,129
insecta,127
trait,127
seeds,126
tool,125
personnel,124
techniques,123
management,122
farming,120
control,117
soil,117
training,114
names,113
structure,111
complex,111
site,110
protein,110
design,108
genome,108
nutritional,105
measures,104
universities,104
lead,102
consumption,101
future,100
climate,99
sweet,98
pesticides,98
individual,97
intake,96
cells,96
expression,95
meetings,93
family,93
rna,91
nutrient,91
communities,89
obesity,89
genomics,88
weight,88
environmental,87
genetics,85
infection,83
medical,83
interest,83
temperature,82
regulation,82
outcome,82
in,81
laboratories,81
variant,81
science,81
mediating,81
blood,80
feeding,79
roots,79
interactions,78
productivity,77
public,77
vector,76
analysis,76
transgenic,75
to,75
adult,74
experience,73
farmer,73
funding,73
colorado,72
physiological,72
detection,72
characteristics,71
property,71
high,70
fruit,70
assay,70
prevention,70
harvest,69
behavior,69
signal,69
wheat,69
disorder,69
exposure,69
play,69
nematoda,67
order,67
monitor,67
pattern,67
link,67
engineering,66
coleoptera,66
educational,66
metabolic,66
specialties,65
students,65
energy,65
insecticides,64
animals,64
soybeans,64
model,64
genotype,63
biochemical,63
organism,63
prevent,63
markers,63
education,63
grant,63
clinical,62
acid,62
practice,62
nutrition,62
viral,62
acids,62
epidemiology,62
insect,62
pressure,61
reporting,61
student,61
factors,61
tissues,60
solanum,60
body,60
genus,60
metabolism,59
bacteria,58
seasons,58
american,58
sugar,58
grants,57
drug,57
transmission,57
impact,56
factor,56
related,56
microbial,55
organisms,55
sampling,55
eating,55
models,54
foundations,54
fatty,54
membrane,54
learning,54
economic,54
success,53
diagnostic,53
scientist,53
outreach,53
fruits,53
leaves,52
activity,52
change,52
project,51
documentation,51
safety,51
relative,51
protocols,50
services,50
cereals,50
host,50
person,50
collection,50
collaborations,50
income,50
aphids,49
international,49
maps,49
transduction,49
surveys,49
effectiveness,48
immune,48
security,48
innovation,47
predisposition,47
evolution,47
child,47
studies,47
incidence,47
diabetes,47
phytophthora,46
fiber,46
phase,46
sequence,45
viruses,45
binding,45
oral,45
tobacco,45
idaho,45
physiology,44
marker,44
location,44
sequencing,44
bean,44
quality,44
national,44
perception,44
north,44
natural,43
strategies,43
virulence,43
nature,43
rotation,43
databases,42
performance,42
enzymes,42
movement,41
surface,41
small,41
institution,41
prospective,41
stem,41
phenotype,41
staging,40
member,40
antiinflammatory,40
cancer,40
cohort,40
cessation,40
schools,40
zebra,40
ensure,39
nitrogen,39
antioxidants,38
behavioral,38
new,38
functional,38
generations,38
intervention,38
fat,38
industrial,38
school,37
trees,37
fungicide,37
mass,36
ecosystem,36
methodology,36
systems,36
graduate,36
density,36
wisconsin,36
america,36
brain,36
pest,35
defense,35
immunity,35
function,35
substance,35
animal,35
woman,35
insight,35
mutant,35
status,35
recording,35
previous,35
events,35
skin,34
gossypium,34
fungus,34
fertilizers,34
transcription,34
agents,34
cyst,34
institutes,34
age,34
resource,34
equilibrium,34
defect,34
award,34
falls,34
price,33
irrigation,33
light,33
web,33
washington,33
mellitus,33
carbohydrates,33
oomycetes,33
elements,32
rice,32
sensory,32
ecology,32
attention,32
prevalence,32
air,32
exhibits,32
meat,32
taste,32
dose,32
color,32
physical,32
adopted,32
apple,31
modification,31
outbreaks,31
gain,31
computer,31
sodium,31
accounting,31
pacific,31
droughts,31
receptor,31
relevance,31
carbon,30
carrots,30
bacterial,30
adoption,30
bioinformatics,30
simulation,30
flavoring,29
country,29
event,29
pathology,29
treatment,29
mus,29
symptoms,29
measurement,29
low,29
nuclear,28
agricultural,28
community,28
solanaceae,28
processing,28
career,28
mutation,28
skills,28
workshop,28
participant,28
epidemic,28
starch,28
hybrids,28
reproduction,27
chromosomes,27
tolerance,27
california,27
killings,27
microbe,27
northwest,27
parents,27
multidisciplinary,27
institute,27
liquid,26
habitats,26
pathogenicity,26
chemical,26
necrosis,26
publishing,26
group,26
government,26
heart,26
communication,26
supply,26
fitness,25
investigation,25
microscopy,25
inflammation,25
minority,25
chronic,25
procedure,25
insulin,25
screening,25
policies,25
weather,25
inhibitorantagonist,25
publications,25
psyllids,25
microorganism,25
comparative,24
milk,24
biomass,24
mission,24
postdoctoral,24
excision,24
infections,24
race,24
face,24
beverages,24
overweight,24
nervous,24
morphology,24
recommendation,24
maine,24
medicine,24
arabidopsis,24
sales,24
citrus,24
texture,23
glycerol,23
esters,23
alfalfa,23
guidelines,23
vaccines,23
societies,23
agrochemicals,23
label,23
receptors,23
mentors,23
effect,23
pharmaceutical,23
preparations,23
heating,23
therapeutic,23
information,23
patients,23
michigan,23
aubergine,23
maintenance,22
dioxide,22
vitro,22
candidate,22
intestines,22
profiling,22
hand,22
experimental,22
approach,22
randomized,22
variation,22
neurons,22
countries,22
oregon,22
certification,22
texas,22
style,22
practices,22
procedures,22
glucose,22
wasting,22
biocontrols,21
oils,21
fostering,21
organ,21
classification,21
antigens,21
value,21
pathogenesis,21
spottings,21
pisum,21
sativum,21
benefit,21
sound,20
formulations,20
specificity,20
uptake,20
vivo,20
laboratory,20
biochemistry,20
reporter,20
death,20
quarantine,20
antibodies,20
faculty,20
fellow,20
injury,20
calcium,20
assessment,20
positioning,20
attribute,20
calories,20
cues,20
gastrointestinal,20
hepatitis,20
toxin,20
fertility,20
beta,20
rural,20
grapes,20
translating,20
fishes,20
diploidy,20
growthdevelopment,20
verticillium,20
hypocreales,20
dakota,20
relationship,19
trials,19
operation,19
biotechnology,19
vaccine,19
housing,19
flowers,19
materials,19
combat,19
specimen,19
cooking,19
epithelial,19
inflammatory,19
persons,19
investigator,19
therapy,19
malignant,19
reproductive,19
smoking,19
coupled,19
cardiovascular,19
decision,19
care,19
statistics,19
back,19
africa,19
famines,19
method,18
carotenoids,18
partner,18
crops,18
forest,18
vitamins,18
field,18
manure,18
reaction,18
syndrome,18
profile,18
instructing,18
deposition,18
image,18
interaction,18
respiratory,18
balance,18
program,18
symposium,18
preservation,18
consumer,18
home,18
south,18
resolution,18
tissue,18
lung,18
undergraduate,18
imaging,18
lifestyle,18
parasites,17
chromatography,17
nuts,17
insecticide,17
hour,17
strategy,17
software,17
series,17
transcriptome,17
awareness,17
computers,17
online,17
cellular,17
anabolism,17
red,17
recruitment,17
serum,17
bone,17
principal,17
ralstonia,17
tract,17
toxic,17
young,17
soy,17
output,17
geographic,17
florida,17
habits,17
social,17
asia,17
vectors,17
gases,17
minnesota,17
shapes,17
capsicum,17
homeostasis,16
fabaceae,16
length,16
whiteflies,16
infant,16
fusarium,16
freezing,16
mouse,16
exercise,16
state,16
signaling,16
eukaryota,16
ethnic,16
businesses,16
developing,16
b,16
mechanism,16
appearance,16
egg,16
solutions,16
europe,16
journals,16
watermelon,16
vulgaris,16
vegetable,16
nematode,16
hazard,16
culture,16
blueberries,16
socioeconomic,16
nurseries,15
illness,15
interference,15
antimicrobial,15
maize,15
solid,15
reliance,15
yeasts,15
tuberosum,15
colorectal,15
acrylamides,15
cycle,15
adverse,15
effects,15
muscle,15
noninsulindependent,15
a,15
diagnosis,15
minerals,15
adolescent,15
onions,15
effective,15
peer,15
visit,15
interdisciplinary,15
potassium,15
arthropods,15
species,15
manihot,15
disparity,15
hormones,14
preparation,14
male,14
escherichia,14
lettuce,14
strawberries,14
chromosome,14
application,14
employee,14
agent,14
phytochemical,14
failure,14
hormone,14
next,14
generation,14
left,14
projects,14
literature,14
emerging,14
internet,14
county,14
review,14
phylogenetic,14
pigments,14
african,14
viroids,14
preference,14
college,14
use,14
nurses,14
larva,13
peach,13
biodiversity,13
female,13
coli,13
phosphorus,13
mapping,13
severities,13
streptomyces,13
adaptation,13
genbank,13
mechanics,13
colon,13
pharmacologic,13
patient,13
repair,13
history,13
hormonal,13
impairment,13
rattus,13
digestion,13
enzyme,13
recovery,13
complement,13
minor,13
knockout,13
stages,13
anthocyanins,13
suidae,13
the,13
visual,13
ascorbic,13
lesion,13
disorders,13
index,13
good,13
enrollment,13
soft,13
leafhoppers,12
polymorphism,12
dependence,12
probability,12
beets,12
cattle,12
fertilization,12
mining,12
vpr,12
silencing,12
reading,12
hypersensitivity,12
mucous,12
curriculum,12
general,12
indexing,12
adherence,12
healthy,12
chloride,12
algorithms,12
followup,12
nucleotides,12
tumor,12
solanacearum,12
conscious,12
cholinergic,12
running,12
sweetened,12
beverage,12
promoter,12
vitamin,12
sensor,12
nucleus,12
recombinase,12
making,12
uncertainty,12
affinity,12
european,12
migration,12
poaceae,12
taxon,12
etiology,12
york,12
photosynthesis,12
amino,12
genomic,12
trend,12
herbicides,12
plague,12
insurance,12
phosphotransferases,12
socioeconomics,12
self,12
lupus,12
stimulus,12
analytical,11
moths,11
applied,11
biogenesis,11
region,11
western,11
early,11
administration,11
aging,11
chemistry,11
repeat,11
preventive,11
alcohol,11
neoplasm,11
smoke,11
update,11
mechanisms,11
organelles,11
writing,11
relating,11
embryo,11
antibody,11
commercialization,11
scale,11
nitrates,11
berry,11
oranges,11
specialist,11
transgenes,11
technique,11
